RESULT,SCORE,PATH
FAILURE,4,"middle,left,left,middle,right,left"
FAILURE,4,"middle,left,left,middle,right,middle"
FAILURE,4,"middle,left,left,middle,right,right"
FAILURE,6,"middle,left,left,right,left,left"
FAILURE,5,"middle,left,left,right,left,middle"
FAILURE,5,"middle,left,left,right,left,right"
FAILURE,4,"middle,left,left,right,middle,left"
FAILURE,4,"middle,left,left,right,middle,middle"
FAILURE,4,"middle,left,left,right,middle,right"
FAILURE,4,"middle,left,left,right,right,left"
FAILURE,4,"middle,left,left,right,right,middle"
FAILURE,4,"middle,left,left,right,right,right"
FAILURE,2,"middle,left,middle,left,left,left"
FAILURE,2,"middle,left,middle,left,left,middle"
